Feature,Importance
categorical__Sub-Category_Copiers,0.084972196325573
remainder__Year,0.07234610585410267
categorical__City_Lafayette,0.058296409208495124
categorical__Sub-Category_Machines,0.03938581707799363
categorical__Category_Office Supplies,0.03717699282550522
categorical__Month_October,0.0333692892517868
remainder__Month Number,0.03328420756015819
categorical__Ship Mode_Standard Class,0.022712189868826047
categorical__Sub-Category_Furnishings,0.02231956154184285
categorical__City_Seattle,0.021209209414395844
categorical__Month_March,0.021179041611941
categorical__Segment_Consumer,0.019217899327233934
categorical__City_New York City,0.018888916221279535
categorical__Month_September,0.017777833837965135
categorical__Sub-Category_Binders,0.016810874018059842
categorical__State_Indiana,0.01640785044755023
categorical__Segment_Corporate,0.016148887214596962
categorical__Ship Mode_Second Class,0.015412854040579514
categorical__State_New York,0.015382684704578946
categorical__Ship Mode_First Class,0.015231461781046486
categorical__City_Arlington,0.014723489350011745
remainder__Quarter,0.014683767354333714
categorical__Month_July,0.014242488608164372
categorical__City_San Antonio,0.013775448610584592
categorical__Month_May,0.012856863161101396
categorical__Category_Technology,0.011533724546968709
categorical__Segment_Home Office,0.011153255300058475
categorical__City_San Francisco,0.010351350318929455
categorical__Month_December,0.00911250506144442
categorical__City_Minneapolis,0.007949223154404444
categorical__Sub-Category_Storage,0.007928544219582815
categorical__Month_April,0.007878227164942318
categorical__Month_November,0.007490287801722799
categorical__Month_August,0.006535466908706167
categorical__City_Los Angeles,0.006524141053593162
categorical__Month_June,0.006320458874427572
categorical__Sub-Category_Supplies,0.006312963417999574
categorical__State_California,0.005696324693215069
categorical__City_Lancaster,0.005652537606251585
categorical__City_Philadelphia,0.005409157512853956
categorical__City_Fresno,0.005315536306528129
categorical__State_Virginia,0.005074587169189859
categorical__City_Tallahassee,0.004768135221662498
categorical__City_San Diego,0.004737764777581599
categorical__City_Detroit,0.004645827804635428
categorical__City_Buffalo,0.0046360937381140525
categorical__City_Providence,0.004614243749280544
categorical__Sub-Category_Accessories,0.0045581138143929575
categorical__State_Washington,0.004516242798350166
categorical__Sub-Category_Bookcases,0.004500478293173417
categorical__Ship Mode_Same Day,0.0044420860746282745
categorical__State_Vermont,0.004416479721286215
categorical__State_Pennsylvania,0.004400450647858555
categorical__Month_February,0.004350473401270394
categorical__City_Sacramento,0.0043198759605812325
categorical__Month_January,0.003574442219053927
categorical__Sub-Category_Paper,0.0035451469750581756
categorical__Sub-Category_Chairs,0.0034085567161149326
categorical__City_North Las Vegas,0.0032978452345072133
categorical__State_Missouri,0.0030494481113701494
categorical__Sub-Category_Appliances,0.002934372122482374
categorical__City_Jackson,0.0027708599167136144
categorical__City_Burlington,0.0026729447321001774
categorical__City_Alexandria,0.0026507167220428795
categorical__Sub-Category_Tables,0.0026377586117697915
categorical__Region_East,0.0026312801409594435
categorical__Region_West,0.0024828863485948
categorical__City_Springfield,0.0024827688118730677
categorical__City_Columbia,0.0023482622626161045
categorical__City_Bellingham,0.0022746368453573024
categorical__City_Houston,0.0022157334152465838
categorical__City_Chicago,0.0019946777650750834
categorical__City_Plainfield,0.0019728127728395944
categorical__City_Concord,0.0019442107586811336
categorical__City_Noblesville,0.0019302102425814895
categorical__City_Charlotte,0.0018741893617013664
categorical__City_Nashville,0.0018670024354503112
categorical__City_Long Beach,0.0017610233514611467
categorical__State_Alabama,0.0017528008025264998
